num_frames,fitness,loss
9900,199.0,
9925,199.0,
9950,199.0,
9975,199.0,
10000,199.0,
10025,199.0,
10050,199.0,
10075,193.0,
10100,193.0,
10125,193.0,
10150,193.0,
10175,193.0,
10200,193.0,
10225,193.0,
10250,182.0,
10275,182.0,
10300,182.0,
10325,182.0,
10350,182.0,
10375,199.0,
10400,199.0,
10425,199.0,
10450,199.0,
10475,199.0,
10500,199.0,
10525,199.0,
10550,199.0,
10575,199.0,
10600,199.0,
10625,145.5,
10650,145.5,
10675,145.5,
10700,145.5,
10725,145.5,
10750,145.5,
10775,145.5,
10800,145.5,
10825,145.5,
10850,145.5,
10875,145.5,
10900,145.5,
10925,145.5,
10950,145.5,
10975,145.5,
11000,145.5,
11025,145.5,
11050,132.0,
11075,199.0,
11100,199.0,
11125,199.0,
11150,199.0,
11175,199.0,
11200,199.0,
11225,199.0,
11250,199.0,
11275,199.0,
11300,134.0,
11325,134.0,
11350,134.0,
11375,134.0,
11400,134.0,
11425,134.0,
11450,134.0,
11475,134.0,
11500,134.0,
11525,134.0,
11550,134.0,
11575,134.0,
11600,134.0,
11625,199.0,
11650,199.0,
11675,199.0,
11700,199.0,
11725,199.0,
11750,199.0,
11775,199.0,
11800,199.0,
11825,199.0,
11850,199.0,
11875,199.0,
11900,199.0,
11925,199.0,
11950,139.0,
11975,139.0,
12000,139.0,
12025,139.0,
12050,173.5,
12075,199.0,
12100,199.0,
12125,199.0,
12150,199.0,
12175,199.0,
12200,199.0,
12225,199.0,
12250,199.0,
12275,199.0,
12300,199.0,
12325,199.0,
12350,199.0,
12375,199.0,
12400,199.0,
12425,199.0,
12450,199.0,
12475,199.0,
12500,109.0,
12525,109.0,
12550,109.0,
12575,186.0,
12600,186.0,
12625,186.0,
12650,122.0,
12675,122.0,
12700,122.0,
12725,122.0,
12750,122.0,
12775,122.0,
12800,122.0,
12825,146.0,
12850,146.0,
12875,146.0,
12900,146.0,
12925,146.0,
12950,146.0,
12975,146.0,
13000,146.0,
13025,146.0,
13050,199.0,
13075,199.0,
13100,199.0,
13125,199.0,
13150,199.0,
13175,199.0,
13200,199.0,
13225,199.0,
13250,199.0,
13275,199.0,
13300,199.0,
13325,199.0,
13350,106.0,
13375,173.0,
13400,173.0,
13425,173.0,
13450,173.0,
13475,173.0,
13500,173.0,
13525,173.0,
13550,173.0,
13575,199.0,
13600,199.0,
13625,199.0,
13650,199.0,
13675,199.0,
13700,199.0,
13725,199.0,
13750,199.0,
13775,199.0,
13800,199.0,
13825,199.0,
13850,199.0,
13875,199.0,
13900,199.0,
13925,199.0,
13950,199.0,
13975,199.0,
14000,199.0,
14025,199.0,
14050,199.0,
14075,199.0,
14100,199.0,
14125,199.0,
14150,199.0,
14175,160.0,
14200,160.0,
14225,160.0,
14250,160.0,
14275,160.0,
14300,160.0,
14325,160.0,
14350,199.0,
14375,199.0,
14400,199.0,
14425,199.0,
14450,199.0,
14475,199.0,
14500,199.0,
14525,199.0,
14550,199.0,
14575,199.0,
14600,199.0,
14625,199.0,
14650,199.0,
14675,199.0,
14700,199.0,
14725,199.0,
14750,199.0,
14775,199.0,
14800,199.0,
14825,199.0,
14850,199.0,
14875,199.0,
14900,199.0,
14925,199.0,
14950,199.0,
14975,82.0,
15000,82.0,
15025,82.0,
15050,199.0,
15075,199.0,
15100,199.0,
15125,199.0,
15150,199.0,
15175,199.0,
15200,199.0,
15225,199.0,
15250,199.0,
15275,199.0,
15300,199.0,
15325,199.0,
15350,199.0,
15375,199.0,
15400,146.0,
15425,146.0,
15450,146.0,
15475,146.0,
15500,146.0,
15525,146.0,
15550,146.0,
15575,146.0,
15600,146.0,
15625,146.0,
15650,146.0,
15675,139.0,
15700,139.0,
15725,139.0,
15750,139.0,
15775,139.0,
15800,139.0,
15825,139.0,
15850,139.0,
15875,139.0,
15900,139.0,
15925,139.0,
15950,139.0,
15975,139.0,
16000,139.0,
16025,196.0,
16050,196.0,
16075,196.0,
16100,196.0,
16125,196.0,
16150,196.0,
16175,199.0,
16200,199.0,
16225,199.0,
16250,199.0,
16275,199.0,
16300,199.0,
16325,187.0,
16350,199.0,
16375,199.0,
16400,199.0,
16425,199.0,
16450,199.0,
16475,199.0,
16500,199.0,
16525,199.0,
16550,199.0,
16575,199.0,
16600,199.0,
16625,199.0,
16650,199.0,
16675,199.0,
16700,199.0,
16725,199.0,
16750,199.0,
16775,199.0,
16800,199.0,
16825,161.0,
16850,161.0,
16875,161.0,
16900,161.0,
16925,161.0,
16950,161.0,
16975,161.0,
17000,161.0,
17025,161.0,
17050,161.0,
17075,161.0,
17100,161.0,
17125,161.0,
17150,161.0,
17175,199.0,
17200,199.0,
17225,199.0,
17250,199.0,
17275,199.0,
17300,199.0,
17325,199.0,
17350,199.0,
17375,199.0,
17400,199.0,
17425,199.0,
17450,199.0,
17475,199.0,
17500,199.0,
17525,199.0,
17550,199.0,
17575,199.0,
17600,199.0,
17625,199.0,
17650,199.0,
17675,199.0,
17700,199.0,
17725,199.0,
17750,199.0,
17775,199.0,
17800,199.0,
17825,199.0,
17850,199.0,
17875,199.0,
17900,199.0,
17925,199.0,
17950,199.0,
17975,199.0,
18000,199.0,
18025,199.0,
18050,199.0,
18075,199.0,
18100,199.0,
18125,199.0,
18150,199.0,
18175,199.0,
18200,199.0,
18225,199.0,
18250,199.0,
18275,199.0,
18300,199.0,
18325,199.0,
18350,199.0,
18375,199.0,
18400,199.0,
18425,199.0,
18450,199.0,
18475,126.0,
18500,126.0,
18525,126.0,
18550,126.0,
18575,126.0,
18600,126.0,
18625,126.0,
18650,126.0,
18675,199.0,
18700,199.0,
18725,199.0,
18750,199.0,
18775,121.0,
18800,90.0,
18825,90.0,
18850,90.0,
18875,90.0,
18900,90.0,
18925,90.0,
18950,90.0,
18975,90.0,
19000,90.0,
19025,90.0,
19050,90.0,
19075,90.0,
19100,90.0,
19125,90.0,
19150,90.0,
19175,90.0,
19200,90.0,
19225,90.0,
19250,90.0,
19275,90.0,
19300,90.0,
19325,199.0,
19350,199.0,
19375,199.0,
19400,183.0,
19425,183.0,
19450,183.0,
19475,183.0,
19500,183.0,
19525,183.0,
19550,183.0,
19575,183.0,
19600,183.0,
19625,183.0,
19650,183.0,
19675,199.0,
19700,199.0,
19725,199.0,
19750,199.0,
19775,197.0,
19800,197.0,
19825,197.0,
19850,197.0,
19875,197.0,
19900,197.0,
19925,197.0,
19950,197.0,
19975,197.0,
20000,197.0,
20025,197.0,
20050,197.0,
20075,197.0,
20100,197.0,
20125,197.0,
20150,197.0,
20175,197.0,
20200,197.0,
20225,197.0,
20250,197.0,
20275,197.0,
20300,197.0,
20325,199.0,
20350,199.0,
