num_frames,fitness,loss
6250,-106.96014682098757,
6275,-106.96014682098757,
6300,-106.96014682098757,
6325,-114.37597472267225,
6350,-114.37597472267225,
6375,-114.37597472267225,
6400,-107.52215650863945,
6425,-107.52215650863945,
6450,-106.24160296760965,
6475,-106.24160296760965,
6500,-106.24160296760965,
6525,-106.24160296760965,
6550,-106.24160296760965,
6575,-106.24160296760965,
6600,-106.24160296760965,
6625,-106.24160296760965,
6650,-111.21237404918065,
6675,-111.21237404918065,
6700,-111.21237404918065,
6725,-111.21237404918065,
6750,-111.21237404918065,
6775,-111.21237404918065,
6800,-111.21237404918065,
6825,-115.94536519562826,
6850,-115.94536519562826,
6875,-115.94536519562826,
6900,-115.94536519562826,
6925,-115.94536519562826,
6950,-115.94536519562826,
6975,-115.94536519562826,
7000,-115.94536519562826,
7025,-115.94536519562826,
7050,-115.94536519562826,
7075,-115.94536519562826,
7100,-115.94536519562826,
7125,-115.94536519562826,
7150,-115.94536519562826,
7175,-115.94536519562826,
7200,-115.94536519562826,
7225,-115.94536519562826,
7250,-115.94536519562826,
7275,-115.94536519562826,
7300,-115.94536519562826,
7325,-115.94536519562826,
7350,-115.94536519562826,
7375,-115.94536519562826,
7400,-115.94536519562826,
7425,-115.94536519562826,
7450,-115.94536519562826,
7475,-115.94536519562826,
7500,-115.94536519562826,
7525,-115.94536519562826,
7550,-115.94536519562826,
7575,-115.94536519562826,
7600,-115.94536519562826,
7625,-115.94536519562826,
7650,-115.94536519562826,
7675,-115.94536519562826,
7700,-115.94536519562826,
7725,-115.94536519562826,
7750,-115.94536519562826,
7775,-115.94536519562826,
7800,-115.94536519562826,
7825,-115.94536519562826,
7850,-115.94536519562826,
7875,-115.94536519562826,
7900,-121.8244046040345,
7925,-121.8244046040345,
7950,-121.8244046040345,
7975,-121.8244046040345,
8000,-121.8244046040345,
8025,-121.8244046040345,
8050,-121.8244046040345,
8075,-121.8244046040345,
8100,-121.8244046040345,
8125,-121.8244046040345,
8150,-121.8244046040345,
8175,-121.8244046040345,
8200,-121.8244046040345,
8225,-121.8244046040345,
8250,-121.8244046040345,
8275,-121.8244046040345,
8300,-113.90022896818118,
8325,-113.90022896818118,
8350,-113.90022896818118,
8375,-113.90022896818118,
8400,-113.90022896818118,
8425,-113.90022896818118,
8450,-113.90022896818118,
8475,-113.90022896818118,
8500,-125.44510374042147,
8525,-125.44510374042147,
8550,-125.44510374042147,
8575,-125.44510374042147,
8600,-125.44510374042147,
8625,-125.44510374042147,
8650,-125.44510374042147,
8675,-125.44510374042147,
8700,-134.75573305649414,
8725,-134.75573305649414,
8750,-134.75573305649414,
8775,-134.75573305649414,
8800,-134.75573305649414,
8825,-134.75573305649414,
8850,-134.75573305649414,
8875,-105.69159592303913,
8900,-105.69159592303913,
8925,-105.69159592303913,
8950,-105.69159592303913,
8975,-105.69159592303913,
9000,-105.69159592303913,
9025,-105.69159592303913,
9050,-105.69159592303913,
9075,-105.69159592303913,
9100,-105.69159592303913,
9125,-105.69159592303913,
9150,-105.69159592303913,
9175,-106.66847045425675,
9200,-106.66847045425675,
