iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
13,174610,6.9675867557525635,1,24,13,3,-153.2693822596189,0.7505807119265431
13,174610,6.9675986766815186,5,28,6,3,-142.48962214248067,0.7661454876384711
13,174610,6.967606067657471,4,26,10,7,-140.4703180137695,0.7690611384058376
13,174610,6.967615604400635,2,29,13,8,-139.73745983827112,0.7701193041726389
13,174610,6.9676220417022705,3,28,11,4,-139.30001016258709,0.7707509328928784
13,174610,6.967628002166748,6,13,2,1,-110.45289715170132,0.8124029584548611
14,188254,8.196218252182007,6,4,3,2,-218.97358977996794,0.46893247866267396
14,188254,8.196230173110962,1,25,14,4,-169.97376173971537,0.5259780412497764
14,188254,8.196240425109863,2,28,14,9,-138.16671043391645,0.5630077862212403
14,188254,8.196250915527344,4,27,11,8,-130.33062594923715,0.5721305498264795
14,188254,8.196284532546997,3,36,12,5,-119.64997347642974,0.5845649573229325
14,188254,8.196294784545898,5,31,7,4,-89.7934292434478,0.6193239234417122
15,201180,8.68014907836914,1,24,15,5,-147.02946082554766,0.6690699760936
15,201180,8.680160284042358,3,32,13,6,-125.37361436704577,0.7013348325017622
15,201180,8.680166959762573,2,18,15,1,-124.97733514995693,0.7019252454445863
15,201180,8.680173873901367,4,25,12,9,-122.10031170408838,0.706211697536946
15,201180,8.680182933807373,6,16,4,3,-112.83707501855955,0.7200129129318804
15,201180,8.680192708969116,5,28,8,5,-104.91268356459236,0.7318193945152378
15,201180,8.680215835571289,7,6,1,1,,
16,215422,9.646100521087646,2,17,16,2,-203.72395476546015,0.6583640296871363
16,215422,9.646116256713867,4,20,13,10,-149.75468470035457,0.7278983627290585
16,215422,9.646144151687622,5,24,9,6,-131.58882002537862,0.7513033723350895
16,215422,9.646175146102905,3,20,14,7,-115.50402807701825,0.7720271152891462
16,215422,9.646180868148804,6,22,5,4,-113.02190313604605,0.7752251000328535
16,215422,9.646186351776123,7,17,2,1,-107.28146998414968,0.7826211087264551
16,215422,9.646192073822021,1,23,16,1,-90.75501909155265,0.8039138877279227
16,215422,9.64619779586792,8,7,1,1,,
17,228439,10.091176271438599,2,10,17,3,-235.15930036826236,0.5643018259644147
17,228439,10.091206550598145,8,8,2,1,-203.9247408122359,0.6040475326224323
17,228439,10.091239213943481,6,22,6,5,-146.8590397247642,0.6766631432760215
17,228439,10.091249704360962,5,22,10,7,-142.24754944815913,0.6825312247343651
17,228439,10.091259956359863,4,17,14,11,-139.33620556868118,0.6862358846194128
