iteration,num_frames,time_in_s,individual_id,species_id,fitness,num_nodes,num_connections
0,70590,0.000957489013671875,87,1,-88.36164800292855,4,96
0,70590,0.0009653568267822266,88,1,-118.20610125186735,4,96
0,70590,0.0009732246398925781,89,1,-141.19864619051845,4,96
0,70590,0.0009813308715820312,90,1,-112.35442403387633,4,96
0,70590,0.0009891986846923828,91,1,-88.56297514610564,4,96
0,70590,0.0009970664978027344,92,1,-101.70276696704732,4,96
0,70590,0.0010051727294921875,93,1,-111.69660073436978,4,96
0,70590,0.0010135173797607422,94,1,-98.11357227051458,4,96
0,70590,0.0010213851928710938,95,1,-114.22378752503387,4,96
0,70590,0.0010294914245605469,96,1,-107.827200701424,4,96
0,70590,0.0010371208190917969,97,1,-104.32660843864899,4,96
0,70590,0.00104522705078125,98,1,-109.77318717975899,4,96
0,70590,0.0010509490966796875,99,1,-91.36788574960038,4,96
